st_x|st_y|count
-9308671.073314851|5048197.746132345|2
-9309738.070634102|5047808.9848560495|2
-9310801.617049143|5047647.770462519|3
-9310803.620799975|5047810.317217604|3
-9310714.231248869|5047810.465257784|4
-9310637.532119712|5047810.613297971|3
-9310564.617853243|5047810.465257784|3
-9310492.371503718|5047810.317217604|3
-9310205.612495435|5047809.57701672|2
-9311175.87317719|5047888.334708374|2
-9311176.986372096|5048077.681481475|2
-9311566.938548345|5047880.488518611|2
-9312176.190121459|5047539.111404121|5
-9312041.93881556|5047774.047440851|2
-9312010.658038648|5047857.986273825|3
-9311873.957703954|5047848.215578569|3
-9312500.018520175|5047880.340477354|3
-9311981.158373587|5048671.653339916|3
-9314538.389716092|5045785.339421598|3
-9311975.70371854|5045131.7528355885|2
-9311283.185166312|5045143.14878159|2
-9312250.885499781|5045717.403434322|3
-9312421.98355713|5046793.926709035|3
-9311234.76118782|5045906.707731836|2
-9310792.488850897|5045900.195247277|2
-9310795.049199184|5046228.785163253|2
-9310791.041697517|5045650.355966734|2
-9310288.99079404|5045139.004799672|2
-9310496.712963859|5045139.892795647|2
-9310794.047323769|5045142.112785944|3
-9309728.051879931|5045138.264803088|2
-9311027.595615454|5043538.82040138|2
-9311793.028434146|5042473.460038471|2
-9311003.773244422|5042519.327305819|2
-9310672.486439822|5042452.301985152|4
-9309750.427097581|5042458.960108833|2
-9309756.327030594|5040319.718617021|2
-9309919.410084605|5040320.310319729|2
-9310206.837009834|5040322.677130926|2
-9311888.76319623|5040352.558172067|2
-9311786.571903681|5041660.313847025|2
-9312121.532251477|5041416.501658414|3
-9313946.837942015|5040201.822573323|2
-9313948.062456414|5040411.137114298|3
-9314877.468885047|5040237.768140973|4
-9314786.186902596|5040231.111544305|2
-9315045.338677164|5040135.552905302|3
-9315049.791456796|5040428.888378862|5
-9315049.01222036|5040326.079423042|2
-9314789.192528848|5040425.042268776|3
-9314882.589581624|5040425.633977921|4
-9315434.845575448|5040436.728531071|4
-9315605.943632796|5040439.095370718|3
-9315348.350331103|5040434.953401715|4
-9315211.204718444|5040431.107289221|3
-9315346.457899759|5040322.529205213|3
-9315467.23954727|5040130.671452148|3
-9314508.333453577|5043642.403356601|3
-9315040.551939059|5043651.577900348|3
-9316136.492325919|5040451.965071439|3
-9316132.818782723|5040067.656550517|3
-9317209.055619713|5040452.4088545265|3
-9320434.426545957|5040453.148493054|3
-9320461.143223746|5046877.85703989|3
-9320455.577249207|5044726.391483521|3
-9319917.792789184|5044730.831274946|2
-9318284.401900774|5044730.387295712|3
-9316128.254683599|5045539.351246793|2
-9316129.924475962|5045624.750765032|3
-9316278.424676681|5045810.0569906235|3
-9316425.477724018|5045811.093057771|2
-9316130.147114944|5045913.072209614|2
-9316267.2927276|5045914.996354887|2
-9318648.861913633|5047947.847524688|2
-9318303.994131157|5047410.913048768|2
-9316891.795070952|5047956.730065983|2
-9317304.901701285|5047957.32223569|2
-9324776.665923331|5049027.43211334|3
-9323631.188363068|5047948.735778453|3
-9326934.260293884|5048958.288897079|2
-9330099.40737561|5047921.347991617|2
-9331176.98004649|5047883.449344188|3
-9331178.315880379|5047921.347991617|3
-9335498.068720613|5049223.612023241|2
-9332219.264438787|5045784.89539399|2
-9330066.679445317|5045776.310864222|2
-9330058.219164016|5042564.898870497|3
-9331653.872745048|5042563.271310923|2
-9335409.347086448|5041461.180374361|3
-9332178.85546363|5040406.107595252|3
-9327888.157010494|5040408.770281478|2
-9326959.529818296|5040271.34704279|4
-9326825.38983189|5040145.61166501|5
-9326688.689497195|5040272.234592434|6
-9326825.723790362|5040271.494967726|4
-9326825.501151381|5040402.40942115|7
-9326558.557012457|5040404.036617579|3
-9326492.655873908|5040405.367960314|2
-9326689.023455668|5040402.40942115|3
-9326689.914011594|5040531.254639318|3
-9326559.113609912|5040534.0652888995|5
-9326826.391707307|5040530.21913705|4
-9327094.560360627|5040531.846354954|3
-9327093.892443683|5040404.332471507|3
-9326826.280387817|5040688.5043407|4
-9326689.914011594|5040670.7526002815|3
-9326523.046094894|5040647.231594343|2
-9326560.004165838|5040652.2612386085|4
-9326829.953931011|5041470.352851485|4
-9328979.310659248|5043639.739781008|3
-9326861.012068942|5043618.431202682|3
-9326839.082129255|5042453.48565125|2
-9326419.407648968|5040406.9951572465|2
-9326398.479584698|5040407.586865285|2
-9324704.085615333|5040381.403819039|2
-9324705.310129732|5040462.320015467|2
-9324693.844222179|5038286.989406822|3
-9326824.387956472|5039475.543591753|5
-9326699.710126784|5039336.506575828|5
-9326835.185947077|5039332.9567207|5
-9327280.463910254|5037195.2927324865|3
-9328973.299406746|5037196.180000346|4
-9324690.838595929|5037204.313292838|4
-9335418.252645714|5037165.865061212|4
-9330037.513738729|5037190.708516513|5
-9331113.86189521|5037188.194592545|3
-9331652.98218912|5037187.307325417|3
-9333225.815274538|5037181.6879688315|4
-9337628.05585745|5039274.384298881|4
-9337606.793834709|5037127.269105225|5
